x,y,width,height,scores.neutral,scores.happiness,scores.surprise,scores.sadness,scores.anger,scores.disgust,scores.fear,scores.contempt
0.396875,0.282609,0.1625,0.282609,0.891319,0.106205,1.22219e-4,0.00140283,1.26598e-5,1.40135e-5,4.83039e-7,9.24009e-4
0.396875,0.282609,0.1625,0.282609,0.903806,0.0936984,1.11437e-4,0.00141521,1.02763e-5,1.4362e-5,4.97396e-7,9.44009e-4
0.396875,0.282609,0.1625,0.282609,0.91054,0.088136,2.75518e-5,6.03198e-4,3.13438e-6,3.70612e-6,6.7832e-8,6.8647e-4
0.396875,0.282609,0.1625,0.282609,0.970052,0.0290575,1.03941e-5,4.13108e-4,1.62598e-6,1.61029e-6,2.28549e-8,4.63631e-4
0.396875,0.282609,0.1625,0.282609,0.895038,0.103029,1.63584e-5,3.75552e-4,2.14463e-6,3.1747e-6,3.21591e-8,0.00153561
0.4,0.282609,0.1625,0.282609,0.856423,0.140136,2.99438e-5,4.51082e-4,4.92681e-6,8.32829e-6,6.50622e-8,0.00294665
0.4,0.282609,0.1625,0.282609,0.846267,0.150578,2.09335e-5,3.23491e-4,3.43176e-6,6.07503e-6,4.77198e-8,0.0028017
0.4,0.282609,0.1625,0.282609,0.856296,0.140732,3.50211e-5,3.58243e-4,5.71036e-6,1.29518e-5,7.21221e-8,0.00255945
0.4,0.277174,0.1625,0.282609,0.942375,0.0561619,5.07363e-6,1.72341e-4,1.44425e-6,2.45465e-6,9.11609e-9,0.00128189
0.403125,0.277174,0.1625,0.282609,0.794223,0.201188,1.21191e-5,1.7763e-4,2.23503e-6,6.17452e-6,1.49619e-8,0.00439097
0.403125,0.277174,0.1625,0.282609,0.710193,0.285563,2.05622e-5,2.18722e-4,3.88529e-6,1.26582e-5,3.67082e-8,0.00398883
0.403125,0.277174,0.1625,0.282609,0.689433,0.306666,2.63433e-5,2.18279e-4,4.17234e-6,1.20039e-5,4.44276e-8,0.00364068
0.403125,0.277174,0.1625,0.282609,0.64815,0.348651,2.94239e-5,1.66521e-4,3.12595e-6,9.68331e-6,4.62726e-8,0.0029899
0.403125,0.271739,0.1625,0.282609,0.872679,0.12581,2.09268e-5,1.72837e-4,1.58261e-6,4.92374e-6,2.12106e-8,0.00131066
0.403125,0.271739,0.1625,0.282609,0.830616,0.165135,6.66467e-5,0.00118729,3.22105e-6,1.75441e-5,1.65313e-7,0.00297452
0.40625,0.271739,0.159375,0.277174,0.776033,0.20685,2.65731e-4,0.00554238,1.6787e-5,1.28983e-4,1.75258e-6,0.0111614
0.409375,0.271739,0.159375,0.277174,0.946241,0.0200712,2.2398e-4,0.0294871,3.70815e-6,9.62391e-5,3.26257e-6,0.00387328
0.409375,0.277174,0.15625,0.271739,0.833095,0.150151,1.31205e-4,0.0104496,2.8502e-6,5.24551e-5,8.57713e-7,0.00611709
0.409375,0.282609,0.15625,0.271739,0.836959,0.151336,2.01564e-4,0.00604979,2.98668e-6,5.61533e-5,7.31483e-7,0.00539337
0.409375,0.288043,0.15625,0.271739,0.764607,0.222097,1.5407e-4,0.00774743,3.26834e-6,7.56863e-5,6.12939e-7,0.00531476
0.409375,0.293478,0.15625,0.271739,0.885124,0.0827616,9.5108e-5,0.028159,4.10242e-6,5.37937e-5,9.63338e-7,0.0038019
0.409375,0.298913,0.15625,0.271739,0.872553,0.0764596,5.4175e-4,0.0454585,1.79983e-5,2.33677e-4,3.91837e-6,0.00473145
0.409375,0.304348,0.15625,0.271739,0.901577,0.0649184,4.32643e-4,0.0300724,1.00227e-5,1.56884e-4,1.75181e-6,0.00283123
0.409375,0.304348,0.15625,0.271739,0.922531,0.0328159,2.32365e-4,0.0402614,8.40828e-6,1.24101e-4,1.46747e-6,0.00402552
0.409375,0.304348,0.15625,0.271739,0.90859,0.0491746,1.70718e-4,0.0357833,7.34667e-6,1.01725e-4,1.55125e-6,0.00617048
0.409375,0.304348,0.153125,0.266304,0.821139,0.0872791,1.69913e-4,0.0815725,9.35063e-6,1.94333e-4,6.11838e-6,0.00962963
0.409375,0.304348,0.153125,0.266304,0.763329,0.155917,4.27387e-4,0.0669756,3.91253e-5,4.89067e-4,1.33762e-5,0.0128094
0.409375,0.309783,0.153125,0.266304,0.885593,0.0535,2.24998e-4,0.0538306,7.45484e-6,1.79985e-4,4.27659e-6,0.00665953
0.409375,0.315217,0.153125,0.266304,0.888817,0.0473968,7.20468e-4,0.0539499,3.03108e-5,4.78405e-4,1.62652e-5,0.00859044
0.409375,0.315217,0.153125,0.266304,0.929189,0.0344053,3.17234e-4,0.0306937,1.24684e-5,2.37003e-4,2.33045e-6,0.00514309
0.409375,0.315217,0.153125,0.266304,0.864776,0.10043,4.96307e-4,0.0293534,2.5914e-5,3.10889e-4,4.04894e-6,0.0046036
0.409375,0.315217,0.153125,0.266304,0.866076,0.100077,2.63846e-4,0.0307165,1.82838e-5,1.88319e-4,1.95859e-6,0.00265785
0.409375,0.315217,0.153125,0.266304,0.858909,0.10527,2.24819e-4,0.0322388,2.47099e-5,2.55765e-4,2.29906e-6,0.00307431
0.409375,0.315217,0.153125,0.266304,0.888827,0.0632145,1.69471e-4,0.0441687,2.83962e-5,3.57133e-4,2.51751e-6,0.00323271
0.409375,0.320652,0.153125,0.266304,0.917818,0.0172151,5.08721e-4,0.0614224,2.49358e-5,5.21237e-4,9.43917e-6,0.00248002
0.409375,0.320652,0.153125,0.266304,0.945817,0.0121949,1.56059e-4,0.0402509,7.72652e-6,2.10935e-4,1.24515e-6,0.00136133
0.409375,0.320652,0.153125,0.266304,0.931761,0.0114886,1.72273e-4,0.0545252,1.25271e-5,2.84196e-4,2.47691e-6,0.00175381
0.409375,0.320652,0.153125,0.266304,0.921496,0.00609278,1.25673e-4,0.0701847,1.2518e-5,2.97109e-4,2.39488e-6,0.0017885
0.409375,0.320652,0.153125,0.266304,0.929074,0.00511175,1.4237e-4,0.0635686,1.01123e-5,2.70412e-4,2.26503e-6,0.00182027
0.409375,0.320652,0.15,0.26087,0.848061,0.122281,1.83741e-4,0.0271655,2.86794e-5,3.64019e-4,1.02969e-6,0.00191572
0.409375,0.320652,0.15,0.26087,0.857704,0.116023,1.47327e-4,0.0240753,2.09362e-5,2.60751e-4,5.90806e-7,0.00176856
0.409375,0.320652,0.15,0.26087,0.833262,0.144719,1.41153e-4,0.020032,1.75369e-5,2.23803e-4,4.56414e-7,0.00160428
0.40625,0.320652,0.15,0.26087,0.871029,0.100271,1.51787e-4,0.0263828,2.11105e-5,2.6512e-4,7.9757e-7,0.00187851
0.40625,0.320652,0.15,0.26087,0.833839,0.138279,1.95132e-4,0.0252507,2.66677e-5,3.12469e-4,1.06955e-6,0.00209674
0.40625,0.320652,0.15,0.26087,0.867626,0.104353,8.46786e-5,0.0259494,1.1234e-5,1.84807e-4,4.17052e-7,0.00179052
0.40625,0.320652,0.15,0.26087,0.906321,0.0600338,4.58064e-5,0.0319784,5.19811e-6,1.13289e-4,1.79275e-7,0.00150247
0.40625,0.320652,0.15,0.26087,0.923779,0.033194799999999997,4.63738e-5,0.0414742,5.25572e-6,1.12541e-4,1.86007e-7,0.0013878
0.40625,0.320652,0.15,0.26087,0.93302,0.0108339,4.69787e-5,0.0547948,4.02979e-6,1.03548e-4,1.92609e-7,0.0011967
0.40625,0.320652,0.15,0.26087,0.927848,0.0104139,6.44297e-5,0.059976,3.45995e-6,9.44361e-5,2.57942e-7,0.00159976
0.40625,0.320652,0.15,0.26087,0.933039,0.00544033,1.03442e-4,0.0593673,3.67162e-6,1.10875e-4,4.29872e-7,0.00193453
0.40625,0.320652,0.15,0.26087,0.939966,0.0105768,1.57338e-4,0.0473678,6.92829e-6,1.30151e-4,6.04619e-7,0.00179442
0.40625,0.320652,0.15,0.26087,0.948649,0.0111765,1.74516e-4,0.038136,5.54713e-6,9.76518e-5,3.97397e-7,0.00176066
0.40625,0.320652,0.15,0.26087,0.937544,0.00997364,7.93066e-5,0.0508551,4.75303e-6,6.68494e-5,3.04235e-7,0.00147573
0.40625,0.320652,0.15,0.26087,0.936196,0.0154235,7.06089e-5,0.0468444,4.32935e-6,6.02107e-5,3.40527e-7,0.00140072
0.40625,0.320652,0.15,0.26087,0.926732,0.028922,7.98357e-5,0.0427126,3.4755e-6,4.95136e-5,3.04421e-7,0.00150033
0.40625,0.320652,0.15,0.26087,0.938803,0.0219359,1.88289e-4,0.0373301,3.63668e-6,5.84317e-5,5.44629e-7,0.00167976
0.40625,0.320652,0.15,0.26087,0.940055,0.0212221,3.35796e-4,0.0365398,4.10729e-6,6.7135e-5,1.1655e-6,0.00177486
0.40625,0.320652,0.15,0.26087,0.92737,0.0182596,3.3153e-4,0.0518646,7.39806e-6,1.02218e-4,1.78081e-6,0.0020628
0.40625,0.320652,0.15,0.26087,0.925789,0.0225897,3.29264e-4,0.0489507,1.1318e-5,1.27229e-4,1.70768e-6,0.00220152
0.40625,0.320652,0.15,0.26087,0.919914,0.0134763,2.08725e-4,0.064423,9.91722e-6,1.0169e-4,1.1009e-6,0.00186536
0.40625,0.320652,0.15,0.26087,0.927826,0.0204005,2.82159e-4,0.0492605,9.78637e-6,1.223e-4,1.13369e-6,0.00209758
0.40625,0.320652,0.15,0.26087,0.94181,0.0115519,2.93185e-4,0.0451379,1.33755e-5,1.31858e-4,9.96384e-7,0.00106116
0.40625,0.320652,0.15,0.26087,0.943842,0.00581345,2.19887e-4,0.0490186,8.7261e-6,1.14492e-4,7.10539e-7,9.81692e-4
0.40625,0.320652,0.15,0.26087,0.933537,0.00237238,1.49555e-4,0.0632454,4.71731e-6,8.79009e-5,3.0629e-7,6.03141e-4
0.40625,0.320652,0.15,0.26087,0.952444,0.00716803,5.78734e-4,0.0382942,1.3144e-5,2.52156e-4,1.57324e-6,0.00124867
0.40625,0.320652,0.15,0.26087,0.929675,0.00437754,9.10865e-4,0.0631048,1.82055e-5,3.81614e-4,3.06078e-6,0.00152893
0.40625,0.315217,0.15,0.26087,0.952217,0.00715807,7.99619e-4,0.0381773,1.48248e-5,2.73646e-4,2.24836e-6,0.00135746
0.40625,0.309783,0.15,0.26087,0.957136,0.00491058,6.25269e-4,0.0360265,1.41707e-5,2.39041e-4,2.12937e-6,0.00104614
0.403125,0.298913,0.153125,0.266304,0.942964,0.0106601,0.00205743,0.0409776,8.62461e-5,5.28459e-4,1.92016e-5,0.00270717
0.403125,0.293478,0.15625,0.271739,0.970308,0.0175472,3.44598e-4,0.00960436,1.66359e-5,5.4872e-5,1.13153e-6,0.00212344
0.403125,0.288043,0.15625,0.271739,0.955827,0.0379051,3.09463e-4,0.00301154,1.81961e-5,3.09259e-5,4.60195e-7,0.00289764
0.403125,0.277174,0.159375,0.277174,0.971286,0.0190209,5.38981e-4,0.00640071,6.59134e-5,1.17384e-4,2.86914e-6,0.00256708
0.403125,0.271739,0.159375,0.277174,0.98036,0.0112679,1.03526e-4,0.0067748,2.77391e-5,5.85181e-5,1.30458e-6,0.0014066
0.403125,0.271739,0.159375,0.277174,0.979111,0.0167635,4.80437e-5,0.00258971,1.36641e-5,1.60543e-5,3.0619800000000003e-007,0.00145718
0.403125,0.266304,0.159375,0.277174,0.951886,0.0385402,1.45386e-4,0.00612854,2.60959e-5,3.87563e-5,1.88812e-6,0.00323278
0.403125,0.26087,0.159375,0.277174,0.95423500000000006,0.0380546,1.04897e-4,0.00450652,1.82342e-5,2.97434e-5,7.99959e-7,0.00305022
0.403125,0.26087,0.159375,0.277174,0.831258,0.162451,6.41494e-4,0.00239651,1.5324e-5,6.09048e-5,3.07982e-6,0.00317427
0.403125,0.26087,0.159375,0.277174,0.722641,0.265833,0.00633941,0.00168156,5.43299e-5,2.53565e-4,1.60385e-5,0.00318119
0.403125,0.26087,0.159375,0.277174,0.894927,0.100776,0.00131712,0.0013829,1.08893e-5,5.33739e-5,2.79341e-6,0.00153036
